                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5623,                 3.2664,                 1.7048,                0.00238,                0.71429,                0.05831,                0.03238,                 1.5279,                 4.3711,                 1.9322,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.7861,                  3.582,                 1.6468,                0.00238,                0.71429,                0.20968,                0.12429,                 1.3865,                 4.1519,                 1.8524,             5.8515e-05,             5.8515e-05,             5.8515e-05
                      3,                 1.3855,                 3.3644,                 1.5109,                0.00286,                0.85714,                0.32863,                0.19127,                 1.3654,                 4.0388,                 1.5884,              9.505e-05,              9.505e-05,              9.505e-05
                      4,                 1.3327,                 3.1156,                 1.3783,                0.00286,                0.85714,                0.42463,                0.25295,                  1.143,                 3.7906,                 1.3477,             0.00012961,             0.00012961,             0.00012961
                      5,                 1.3597,                 2.7354,                  1.327,                0.00333,                      1,                0.48666,                0.30577,                 1.2062,                 3.7649,                 1.4048,             0.00016218,             0.00016218,             0.00016218
                      6,                 1.3135,                 2.5438,                 1.2576,                0.00333,                      1,                0.55594,                0.32589,                 1.3354,                 3.5692,                 1.5777,             0.00019277,             0.00019277,             0.00019277
                      7,                 1.3343,                 2.4777,                 1.3019,                0.00286,                0.85714,                0.54686,                0.33094,                 1.3982,                  3.514,                 1.6102,             0.00022139,             0.00022139,             0.00022139
                      8,                 1.3029,                 2.0526,                 1.3891,                0.00286,                0.85714,                 0.5768,                0.35512,                 1.3354,                 3.5538,                 1.4921,             0.00024803,             0.00024803,             0.00024803
                      9,                 1.1583,                 2.1155,                 1.4472,                0.00286,                0.85714,                0.61283,                0.31058,                 1.3405,                 3.5929,                 1.4975,             0.00027268,             0.00027268,             0.00027268
                     10,                  1.155,                 2.0173,                 1.1905,                0.00286,                0.85714,                0.64597,                0.37818,                 1.2086,                 3.5438,                 1.3979,             0.00029536,             0.00029536,             0.00029536
                     11,                 1.3444,                 1.8366,                 1.2613,                0.00286,                0.85714,                0.69264,                0.49254,                 1.1645,                 3.4638,                 1.4081,             0.00031605,             0.00031605,             0.00031605
                     12,                 1.5365,                 1.9448,                 1.2629,                0.00286,                0.85714,                0.71595,                0.51685,                 1.1555,                 3.4247,                 1.4616,             0.00033476,             0.00033476,             0.00033476
                     13,                 1.2989,                  1.746,                 1.3271,                0.00286,                0.85714,                0.69262,                0.48076,                 1.1179,                 3.3932,                 1.4442,              0.0003515,              0.0003515,              0.0003515
                     14,                 1.2433,                 1.8578,                 1.1938,                0.00333,                      1,                0.71747,                0.49483,                 1.0346,                 3.4861,                 1.3148,             0.00036626,             0.00036626,             0.00036626
                     15,                 1.2906,                 1.6597,                 1.1815,                0.00286,                0.85714,                0.71597,                0.47305,                 1.0407,                 3.4571,                 1.3671,             0.00037903,             0.00037903,             0.00037903
                     16,                 1.1768,                 1.8555,                 1.2364,                0.00286,                0.85714,                0.71599,                0.48058,                 1.0053,                 3.4908,                  1.347,             0.00038983,             0.00038983,             0.00038983
                     17,                 1.2583,                 2.0067,                 1.2857,                0.00549,                0.85714,                0.71765,                0.45756,                 1.0893,                  3.413,                 1.3694,             0.00039864,             0.00039864,             0.00039864
                     18,                 1.3466,                 1.6392,                 1.4385,                 0.8058,                0.42857,                0.61614,                0.38092,                 1.2517,                 3.4005,                 1.4615,             0.00040547,             0.00040547,             0.00040547
                     19,                 1.0576,                  1.616,                 1.2038,                 0.4374,                0.57143,                0.58692,                0.34619,                 1.3285,                 3.5875,                 1.5271,             0.00041033,             0.00041033,             0.00041033
                     20,                 1.1976,                 1.6761,                 1.1905,                0.16735,                0.71429,                0.62547,                 0.3398,                   1.48,                  3.523,                 1.6271,             0.00041321,             0.00041321,             0.00041321
                     21,                 1.0689,                 1.8151,                 1.1677,                0.00602,                      1,                0.63532,                0.33828,                 1.5371,                 3.5859,                 1.7472,              0.0004141,              0.0004141,              0.0004141
                     22,                 1.1108,                 1.6708,                 1.2496,                0.00356,                      1,                0.63121,                0.31305,                 1.6321,                 3.5643,                 1.9729,             0.00041302,             0.00041302,             0.00041302
                     23,                   1.11,                 1.4961,                 1.1416,                0.84466,                0.57143,                 0.6649,                0.33678,                 1.4565,                 3.6302,                 1.6528,             0.00040995,             0.00040995,             0.00040995
                     24,                 1.2172,                 1.6419,                 1.2125,                      1,                0.25056,                0.67815,                0.36076,                 1.3908,                 3.6229,                 1.6266,             0.00040491,             0.00040491,             0.00040491
                     25,                  1.216,                 1.7799,                 1.1876,                      1,                0.25397,                 0.5992,                0.35023,                 1.4705,                 3.6322,                 1.6769,             0.00039788,             0.00039788,             0.00039788
                     26,                 1.1017,                 1.6937,                 1.2633,                      1,                0.25117,                0.59986,                0.35417,                  1.636,                 3.5383,                 1.8807,             0.00038887,             0.00038887,             0.00038887
                     27,                 1.2804,                 1.6424,                 1.2208,                      1,                 0.2641,                0.74045,                0.43491,                 1.6792,                 3.3308,                 1.7816,             0.00037789,             0.00037789,             0.00037789
                     28,                 1.1254,                 1.5403,                 1.1599,                      1,                 0.2641,                0.74045,                0.43491,                 1.6792,                 3.3308,                 1.7816,             0.00036492,             0.00036492,             0.00036492
                     29,                  1.255,                 1.5826,                 1.0969,                0.96176,                0.42857,                0.74307,                0.41959,                 1.7126,                 3.2687,                 1.8766,             0.00034998,             0.00034998,             0.00034998
                     30,                0.95818,                 1.4935,                 1.1263,                0.81234,                0.42857,                0.73743,                0.41746,                 1.6683,                 3.1293,                 1.8933,             0.00033306,             0.00033306,             0.00033306
                     31,                 1.2111,                 1.9042,                 1.2788,                0.81234,                0.42857,                0.73743,                0.41746,                 1.6683,                 3.1293,                 1.8933,             0.00031415,             0.00031415,             0.00031415
                     32,                 1.0649,                 1.9005,                 1.2169,                      1,                0.53763,                0.76361,                0.42726,                 1.6171,                 3.0016,                 1.8532,             0.00029326,             0.00029326,             0.00029326
                     33,                0.91079,                 1.8418,                 1.1426,                0.89966,                0.57143,                0.81708,                0.41224,                 1.5997,                 2.9455,                 1.8146,              0.0002704,              0.0002704,              0.0002704
